Text,Emotion
i feel as confused about life as a teenager or as jaded as a year old man,fear
i now feel compromised and skeptical of the value of every unit of work i put in,fear
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear
i remember feeling acutely distressed for a few days,fear
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear
i will be able to lay on my bed in the dark and not feel terrified at least for a while,fear
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear
i had stated to her the reason i feel so fearful is because i feel unsafe,fear
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear
i feel strange coming back to work after my one day holiday,fear
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear
i feel vulnerable and alone,fear
i think im just being stupid feeling nervous,fear
i feel now so uncomfortable with all of them i guess is me,fear
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear
i am feeling pretty restless right now while typing this,fear
i just feel terrified like im on the edge of a precipice staring ahead,fear
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,fear
i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,fear
i know im feeling agitated as it is from a side effect of the too high dose,fear
fear of thief,fear
i always feel intimidated by other people especially when they always compare me to other people ever since i was young,fear
i didnt say was that strong feelings always make me skeptical at first,fear
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,fear
i feel confused after that,fear
i could feel the frantic need in him the need to make me his,fear
i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes,fear
i am already feeling frantic,fear
i didnt feel especially nervous in finland but when we landed in paris i was a little unsure about what would be ahead of us thought st grade student janne suominen,fear
i still feel vulnerable around him,fear
i feel this is doubtful,fear
i feel hesitant about talking about this,fear
i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects,fear
i feel indecisive on whether or not i feel the book huckleberry finn should be censored,fear
i have been feeling so overwhelmed lately,fear
im contemplating and feeling skeptical,fear
i love him but i feel threatened with him around a little,fear
i found myself in the novel position of feeling a bit uncertain about the stock market rally,fear
i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness,fear
i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom,fear
i just woke up from my nap and i feel extremely agitated and grumpy,fear
i feel intimidated by the great women in my family tree,fear
i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height,fear
i broke my uncles radio player accidentally and so i feared that he was going to cut me off from going to his house as well as playing it again,fear
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,fear
i giggle nervously when i feel threatened,fear
i picked up feeling a little apprehensive,fear
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous,fear
i feel uptight my day is complete when hes around i feel so right a little nervs i dream about what we can do date and all the things we can pursue wedding i always dream that your mine very day min,fear
i didnt tell you because i didnt want you to feel afraid,fear
i sort of hate glasses because they make my eyes look small and since huge eyes is all i have going for me it was quite an upset but im hoping these bigger frames will make me feel less paranoid,fear
i feel distressed music on my mind rewrite fma op,fear
i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby,fear
i had horrible anxiety dreams every night last week and it made me feel really paranoid and of course all of that reading about conspiracy theories and unsolved crimes online didnt hugely help matters,fear
i remember feeling uncertain about myself when i was young and especially when i became a teenager,fear
i feel uncomfortable using the word awesome but this idea actually is,fear
im feeling indecisive and it scares me,fear
i believe that what was displayed is a deep emotional yearning for semblance of normality peace since it appears the dancing arabs did not feel threatened by a fully armed soldier,fear
i feel kind of insecure here anyways back to doha,fear
i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me,fear
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear
ive been feeling a bit paranoid like its really noticable that im off and that everyone can see that,fear
i am at the bus stop and i hear the squeak of a baachan trolley i feel a little paranoid,fear
i ended up shoeless making me feel even more vulnerable and slowing me down further,fear
i had envisioned and intended im just feeling unsure whether i got that vision and intention right,fear
im feeling a combination of terrified and relieved,fear
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear
i feel so shaken and guilty for not being a better mother and shielding my offspring from this health problem,fear
i was feeling nervous sure just like anyone else would be in my position,fear
i was older i might not feel as frightened about spending the time i have left alone,fear
i still feel shaky is because in the worst hit areas the damage and destruction is so complete,fear
i feel uncertain and uneasy,fear
i feel nervous about going back to america not knowing what to expect the transition to be like,fear
i started to feel kind of skeptical about this myself,fear
im feeling agitated and pour more brandy on my coffee,fear
i sense this is wat has let you feeling unsure,fear
i am feeling very apprehensive about the future at the moment,fear
i am not a very extremely good friend of someone of course i feel reluctant to some extent if i have to do favours for that someone,fear
i was sleeping in my room but woke in the middle of the night to think i could hear noises and see shadows moving i felt that someone was in the house,fear
i begin to have these doubts my stomach clenches my heart races and i feel fearful,fear
i walia feels suspicious about tarun and bani,fear
i had then these were truly terrifying and still feel shaken and uneasy because of them,fear
i sit here tonight i m pensive tense and feeling a little fearful,fear
i felt sad and apprehensive and angry that i d had vertigo and that it had left me feeling uncertain,fear
i have admitted defeat and asked the other half to come back from the lake coz i just feel so uptight already,fear
i have to admit i am feeling a bit intimidated by the challenge of,fear
i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer,fear
i woke up on a beautiful sunday morning feeling restless and miserable,fear
i couldn t turn my head away even when i feel frightened,fear
i feel the most uncertain about the project,fear
i feel apprehensive about the ride ahead,fear
i do not feel insecure or unsafe,fear
i think that our favorite activities as a child are often very telling and if someone is feeling a little unsure about their life s direction going back to those childhood favorite past times holds many rich clues,fear
i feel fearful of being near them,fear
i do not feel overwhelmed nor rushed,fear
i feel a bit reluctant to turn to other people,fear
i probably love a handful of friends too but i always feel a bit strange when describing this as love,fear
i am feeling a bit strange never felt that ever but should i really stop writing blogs now,fear
i don t know why it is that i feel awkwardly hesitant to return to melbourne,fear
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
i told im i didnt want him to feel uncomfortable,fear
i feel like im a shy enormous pink flamingo man,fear
i am also not a perfect girl friend and im always a disappointment always feeling so doubtful and always putting you through a hard time with my mood swings and sudden outburst of low emo mood,fear
i feel confused too,fear
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear
i somehow feel more vulnerable without it,fear
i am feeling very fearful that things arent going to go the way i want them to with my ex,fear
i feel rather intimidated by my re his impressive background and the clinic in general,fear
i secretly well i guess not secretly anymore feel insecure about this but at the same time want them to learn how to come up with common ground by themselves,fear
i feel so uncomfortable about the word hero,fear
i woke up on the sofa feeling extremely agitated around pm,fear
i am feeling very unsure of my future,fear
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear
im just feeling very uncertain and,fear
im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain,fear
i don t want you to feel pressured into making love,fear
i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,fear
i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,fear
i wanted to go and ask him about my batting but was feeling hesitant about approaching such a big player,fear
ive been feeling a bit overwhelmed with the whole marathon idea lately,fear
i feel suspicious if there is no one outside like the rapture has happened or something,fear
i did manage two short runs and a walk but today im back to feeling just shy of awful,fear
i face turn red and feel shy emm no,fear
i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,fear
i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,fear
i feel i am shy and i am afraid of keeping my point of view,fear
i email authors about interviews i feel a little intimidated,fear
i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,fear
i really hate that feeling when youre unsure about something,fear
i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,fear
i want to say that i feel vulnerable writing and sharing this info,fear
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear
i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,fear
i could feel myself getting that shaky feeling,fear
i feel so highly intimidated that i get flustered and cant form my words not even in english with her,fear
i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,fear
i had coped for barely twenty four hours before i was feeling wrung out and distraught,fear
i fully enjoy music when i feel afraid using headphones,fear
i feel pretty insecure about my current relationship,fear
i feel a little strange chasing after them since im so disappointed in the brand as a whole,fear
i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc,fear
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear
im feeling a little gun shy about this,fear
ill smoke a few cigarettes because im feeling a little nervous,fear
im feeling very indecisive about turning eighteen but hey the age does come with its own ups and downs right,fear
i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing,fear
im feeling confused but ill keep trudging through,fear
i feel scared and stupid,fear
i feel about them i still end up nervous and have those naughty butterflies flying around my stomach,fear
i am feeling very anxious about going to therapy w,fear
i am feeling unsure about my words but it also means i am writing which is good,fear
im waiting in my paper gown and plastic slippers for them to call me feeling very apprehensive but a bit dopey in the head due to lack of food,fear
i notice a lump or feel pain in any part of my body i will somehow become fearful or scared,fear
i went into the movie i was feeling skeptical and slightly nervous that i was going to be disappointed,fear
i am beginning to feel startled by how little of last week i remember,fear
im sure ill also feel a bit nervous,fear
i could listen for hours without feeling either threatened or the slightest bit shocked,fear
im feeling a little uptight and pinched today,fear
i have the emotions but have learned that to feel them to let myself become agitated or excited means that my heart and heat jumps the regulated limits of what can be sustained,fear
i know i should just let the words flow like how they do when i blog but still i feel the pressure and that is making me unsure of my skills,fear
i feel more in control and less frightened about my headaches and migraine attacks excellent service,fear
i guess the trick is i need to go in strong and get what i want and not feel bashful over it,fear
i like to finish on a positive note that whenever i feel a bit fearful or down i can just remember something nice about me and rich and it cheers me up,fear
i feel most apprehensive about each week probably because it is the one most likely to unavoidably show me my shortcomings as a runner,fear
i go to little tiny andover and take a walk at night i feel absolutely terrified,fear
i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,fear
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear
i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter,fear
i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me,fear
i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task,fear
i an asylum seeker who i don t know how they live in this country without feeling assaulted,fear
